mod_id,name_cn,local_name_en,notes,tags,nexus_url,title_en,author,category,summary,thumbnail,nexus_requirements
2400,Stardew 改装 API,SMAPI - Stardew Modding API,必装所有mod的前提,#前置,https://www.nexusmods.com/stardewvalley/mods/2400,SMAPI - Stardew Modding API,Pathoschild,未知分类,The mod loader for Stardew Valley.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/2400.png,
1915,内容修补工具,Content Patcher,前置mod,#前置,https://www.nexusmods.com/stardewvalley/mods/1915,Content Patcher,Pathoschild,未知分类,"Loads content packs that change the game's data, images, and maps without replacing XNB files.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/1915.png,
1348,太空核心,SpaceCore,前置mod,#前置,https://www.nexusmods.com/stardewvalley/mods/1348,SpaceCore,spacechase0,未知分类,A framework mod used by some of my other mods.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/1348.png,
2341,星尘之芯,Stardust Core,前置mod,#前置,https://www.nexusmods.com/stardewvalley/mods/2341,Stardust Core,Alpha_Omegasis,未知分类,A mod used as a core library for some of Omegasis's mods.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/2341.png,
999,肖像,Portraiture,前置mod,#前置,https://www.nexusmods.com/stardewvalley/mods/999,Portraiture,Platonymous,未知分类,Add higher resolution portraits and easily switch between different Portrait Mods.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/999.png,
9246,AT替代纹理,AlternativeTextures,前置mod,#前置,https://www.nexusmods.com/stardewvalley/mods/9246,Alternative Textures,PeacefulEnd,未知分类,"Framework which enables texture variation for placeable objects, buildings and entities in Stardew Valley.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/9246.png,
1720,JA,JsonAssets,前置mod,#前置,https://www.nexusmods.com/stardewvalley/mods/1720,Json Assets,spacechase0,未知分类,Lets content packs add custom content to the game.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/1720.jpg,
5098,通用模块配置菜单（GMCM）,Generic Mod Config Menu,管理设置mod,#前置,https://www.nexusmods.com/stardewvalley/mods/5098,Generic Mod Config Menu (GMCM),spacechase0,未知分类,Adds an in-game UI to edit other mods' config options.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/5098.png,
239,npc位置,NPCMapLocation,,#必下mod,https://www.nexusmods.com/stardewvalley/mods/239,NPC Map Locations,Bouhm and Pathoschild,未知分类,"See NPC and players on the map, with an optional minimap.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/239.png,
541,查找一切,LookupAnything,,#必下mod,https://www.nexusmods.com/stardewvalley/mods/541,Lookup Anything,Pathoschild,未知分类,"See live info about whatever's under your cursor when you press F1. Learn a villager's favourite gifts, when a crop will be ready to harvest, how long a fence will last, why your farm animals are unhappy, and more.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/541.png,
2697,跳过钓鱼,SkipFishingMinigameDotnet5,,#必下mod,https://www.nexusmods.com/stardewvalley/mods/2697,Skip Fishing Minigame,DewMods,未知分类,Do fish laugh at you while escaping with your bait and tackle? <br /><br />You can now catch them without any struggle. Just hook them when they bite and you're done!<br /><br />Now updated with auto-fish (enable via config).,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/2697.jpeg,
8897,水中的鱼,VisibleFish,,#必下mod,https://www.nexusmods.com/stardewvalley/mods/8897,Visible Fish - see catchable fish in the water,shekurika,未知分类,This mod shows fish that are currently catchable in the water. Works with modded locations + fish!,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/8897.png,
518,随时开箱,ChestAnywhere,,#必下mod,https://www.nexusmods.com/stardewvalley/mods/518,Chests Anywhere,Pathoschild,未知分类,"Access your chests, dressers, fridge, shipping bin, and Junimo huts from anywhere and organise them your way. Transfer items without having to run around, from the comfort of your bed to the deepest mine level. Includes optional balanced mode.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/518.png,
10384,一键整理箱子方便的库存,Convenient Inventory,,#必下mod,https://www.nexusmods.com/stardewvalley/mods/10384,Convenient Inventory,gaussfire,未知分类,"Adds convenience features to the player's inventory, such as quick stack to nearby chests and favorited items.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/10384.png,
14494,所有宝箱菜单,All chests menu,,#必下mod,https://www.nexusmods.com/stardewvalley/mods/14494,All Chests Menu,aedenthorn,未知分类,"Provides access to a menu displaying inventories of all player chests and the player backpack that can be sorted, swapped, filtered, organized, transferred between, renamed, etc.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/14494.png,
7098,ui2 信息套件,UI Info suite2,,#必下mod,https://www.nexusmods.com/stardewvalley/mods/7098,UI Info Suite 2,Abs0rbed - tqdv - Annosz,未知分类,Provides helpful information about things around you designed to help you be aware of what's going on without feeling like you're cheating.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/7098.png,
7363,更高级的界面缩放,zoomLevel,,#必下mod,https://www.nexusmods.com/stardewvalley/mods/7363,Zoom Level,thespbgamer,未知分类,Adds new keybindings to adjust the zoom level and UI level past the game limit with a simple config file to change the zoom amount and zoom caps.<br />Now it also has an option to change the camera's position.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/7363.png,
8386,随时保存,Save Anywhere,,#必下mod,https://www.nexusmods.com/stardewvalley/mods/8386,Save Anywhere,Aredjay and Sweet Panda,未知分类,"QuickSave should be used instead of this mod!<br />The mod let you save the game at (almost) every time and place, without you needing to pass the day and go to bed!",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/8386.png,
20943,移动一切,Let’s MoveIt,,#必下mod,https://www.nexusmods.com/stardewvalley/mods/20943,Let's Move It,Exblosis,未知分类,"Lets you easily move trees, crops, etc. and also to copy and remove.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/20943.png,
5463,自动浇水,Aotowatering,,#自动｜#必下mod,https://www.nexusmods.com/stardewvalley/mods/5463,Autowatering,stellarashes,未知分类,Automatically waters and fertilize your crops,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/5463.png,
1019,自动开关动物门鸡舍畜棚,AutoAnimalDoors,,#自动｜#必下mod,https://www.nexusmods.com/stardewvalley/mods/1019,AutoAnimalDoors,Aaron Taggart,未知分类,Automate the animal door opening/closing process for all your barns and coop.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/1019.png,
1063,自动加工,Automate,,#自动｜#必下mod,https://www.nexusmods.com/stardewvalley/mods/1063,Automate,Pathoschild,未知分类,"Place a chest next to a machine (like a furnace or crystalarium), and the machine will automatically pull raw items from the chest and push processed items into it. Connect multiple machines with a chest to link them.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/1063.png,
