mod_id,name_cn,local_name_en,notes,tags,nexus_url,title_en,author,category,thumbnail,nexus_requirements,version,last_updated,mod_downloads,category_cn,summary_cn,summary
2400,SMAPI,SMAPI - Stardew Modding API,,#修改工具|#前置,https://www.nexusmods.com/stardewvalley/mods/2400,SMAPI - Stardew Modding API,Pathoschild,9,https://staticdelivery.nexusmods.com/mods/1303/images/2400/2400-1739896414-1995424095.png,,,2025/7/15,25.2M,修改工具,星露谷物语的模组加载器。,The mod loader for Stardew Valley.
1915,CP内容修补工具,Content Patcher,,#修改工具|#前置,https://www.nexusmods.com/stardewvalley/mods/1915,Content Patcher,Pathoschild,9,https://staticdelivery.nexusmods.com/mods/1303/images/1915/1915-1519967846-411398257.png,,,2025/10/27,21.2M,修改工具,加载会改变游戏数据的内容包。,Loads content packs that change the game's data
1348,太空核心,SpaceCore,,#修改工具|#前置,https://www.nexusmods.com/stardewvalley/mods/1348,SpaceCore,spacechase0,9,https://staticdelivery.nexusmods.com/mods/1303/images/1348/1348-1757873504-1684389719.png,,,2025/10/19,10.8M,修改工具,机制扩展核心库，支持新技能/新逻辑,A framework mod used by some of my other mods.
2341,星尘之芯,Stardust Core,,#修改工具|#前置,https://www.nexusmods.com/stardewvalley/mods/2341,Stardust Core,Alpha_Omegasis,9,https://staticdelivery.nexusmods.com/mods/1303/images/2341/2341-1533756507-295583858.png,,,2024/11/25,1.2M,修改工具,一个被 Omegasis 的一些模组用作核心库的模组。,A mod used as a core library for some of Omegasis's mods.
999,肖像999,Portraiture,,#人物|#前置,https://www.nexusmods.com/stardewvalley/mods/999,Portraiture,Platonymous,5,https://staticdelivery.nexusmods.com/mods/1303/images/999/999-1708325606-396087420.png,,,2024/3/4,2.4M,人物,添加更高分辨率的肖像，并轻松切换不同的肖像模式。,Add higher resolution portraits and easily switch between different Portrait Mods.
9246,AT替代纹理,AlternativeTextures,,#修改工具|#前置,https://www.nexusmods.com/stardewvalley/mods/9246,Alternative Textures,PeacefulEnd,9,https://staticdelivery.nexusmods.com/mods/1303/images/9246/9246-1628558331-28906488.png,,,2025/12/23,2.3M,修改工具,支持可切换的多套贴图系统。该框架能够为《星露谷物语》中的可放置物体、建筑物和实体实现纹理变化。,Framework which enables texture variation for placeable objects buildings and entities in Stardew Valley.
1720,JA,JsonAssets,,#修改工具|#前置,https://www.nexusmods.com/stardewvalley/mods/1720,Json Assets,spacechase0,9,https://images.nexusmods.com/mod-headers/1303/1720.jpg,,,2025/10/19,7.3M,修改工具,自定义物品/作物/树木/食谱数据库框架,Lets content packs add custom content to the game.
5098,通用模块配置菜单（GMCM）,Generic Mod Config Menu,,#修改工具|#前置,https://www.nexusmods.com/stardewvalley/mods/5098,Generic Mod Config Menu (GMCM),spacechase0,9,https://staticdelivery.nexusmods.com/mods/1303/images/5098/5098-1578097159-913064158.png,,,2025/10/19,11.0M,修改工具,添加游戏内用户界面，用于编辑其他模组的配置选项。,Adds an in-game UI to edit other mods' config options.
239,npc位置,NPCMapLocation,,#用户界面|#必下mod,https://www.nexusmods.com/stardewvalley/mods/239,NPC Map Locations,Bouhm and Pathoschild,10,https://staticdelivery.nexusmods.com/mods/1303/images/239/239-1522469229-1390441983.png,,,2025/10/22,12.3M,用户界面,在地图上查看NPC和玩家，并可选择显示小地图。,See NPC and players on the map with an optional minimap.
541,查找一切,LookupAnything,,#用户界面|#必下mod,https://www.nexusmods.com/stardewvalley/mods/541,Lookup Anything,Pathoschild,10,https://staticdelivery.nexusmods.com/mods/1303/images/541-0-1482010183.png,,,2025/10/27,8.5M,用户界面,按下 F1 键，即可查看光标下物体的实时信息。了解村民最喜欢的礼物，以及作物何时可以收获。,See live info about whatever's under your cursor when you press F1. Learn a villager's favourite gifts when a crop will be ready to harvest when a crop will be ready to harvest
2697,跳过钓鱼,SkipFishingMinigameDotnet5,,#钓鱼|#必下mod,https://www.nexusmods.com/stardewvalley/mods/2697,Skip Fishing Minigame,DewMods,26,https://staticdelivery.nexusmods.com/mods/1303/images/2697/2697-1534647668-943019878.jpeg,,,2024/11/5,3.1M,钓鱼,鱼儿是不是一边嘲笑你一边叼走你的鱼饵和渔具。<br /><br />现在你可以轻松钓到它们了。只需在它们咬钩时钩住鱼钩，一切就搞定了。,Do fish laugh at you while escaping with your bait and tackle? <br /><br />You can now catch them without any struggle. Just hook them when they bite and you're done!<br /><br />Now updated with auto-fish (enable via config).
8897,看见水中的鱼,VisibleFish,,#视觉效果和图形|#必下mod,https://www.nexusmods.com/stardewvalley/mods/8897,Visible Fish - see catchable fish in the water,shekurika,25,https://staticdelivery.nexusmods.com/mods/1303/images/8897/8897-1623348043-1700818736.png,,,2024/5/23,2.7M,视觉效果和图形,此模组显示当前水域中可捕获的鱼类。兼容模组添加的地点和鱼类。,This mod shows fish that are currently catchable in the water. Works with modded locations + fish!
518,随时开箱,ChestAnywhere,,#用户界面|#必下mod,https://www.nexusmods.com/stardewvalley/mods/518,Chests Anywhere,Pathoschild,10,https://staticdelivery.nexusmods.com/mods/1303/images/518/518-1719508287-1183164544.png,,,2025/10/27,3.6M,用户界面,打开你的宝箱。,Access your chests
10384,一键整理箱子方便的库存,Convenient Inventory,,#游戏机制|#必下mod,https://www.nexusmods.com/stardewvalley/mods/10384,Convenient Inventory,gaussfire,3,https://staticdelivery.nexusmods.com/mods/1303/images/10384/10384-1640036713-75233347.png,,,2025/1/23,1.2M,游戏机制,为玩家的物品栏添加便捷功能。,Adds convenience features to the player's inventory
14494,所有宝箱菜单,All chests menu,,#用户界面|#必下mod,https://www.nexusmods.com/stardewvalley/mods/14494,All Chests Menu,aedenthorn,10,https://staticdelivery.nexusmods.com/mods/1303/images/14494/14494-1668552527-671827710.png,,,2025/9/12,22.9K,用户界面,提供一个菜单，显示所有玩家宝箱和玩家背包的物品清单，并可进行排序。,Provides access to a menu displaying inventories of all player chests and the player backpack that can be sorted
